canonical_file_name,width,height,modality,source_type,view_type,ocr_needed,component_primary,component_secondary,visible_abnormalities,visual_observation,engineering_rationale,fault_type,issue_family,hazard_level,resolver_tier,recommended_next_step,required_proof_next,replacement_likely,manufacturer_verification_needed,confidence_annotation,annotator,reviewer,approval_status,group_id,notes
Charger No Pulse (2).jpg,720,1280,photo,charger_exterior,medium_shot,no,charger_exterior,isolator,missing_or_no_indicator,The EV charger unit displays no active LED indicator lights. An upstream isolator switch is visible directly above it.,"The absence of any indicator lights implies a total loss of power to the unit. This could be due to an upstream issue (tripped breaker, switched-off isolator) or an internal power supply failure.",unknown_fault,no_power,low,driver,Request the driver to verify the isolator switch is firmly in the ON position and check the main house DB for tripped breakers.,"Photos of the main house DB breaker positions. If power is confirmed on, a voltage reading at the charger terminal is required.",no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger No Pulse (3).jpg,462,1000,photo,charger_exterior,medium_shot,no,charger_exterior,charger_led,missing_or_no_indicator,"The charger exterior is visible, and the small LED status indicator at the top center is completely unlit.","An unlit indicator suggests a total loss of power to the unit, which could be caused by an upstream tripped breaker, a switched-off isolator, or an internal power supply failure.",unknown_fault,no_power,low,driver,Instruct the driver to verify the upstream isolator switch and house DB breakers are in the ON position.,Photos of the upstream EVDB breakers and isolator switch positions.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger No Pulse (4).jpg,810,1080,photo,mixed_scene,medium_shot,no,charger_exterior,isolator,missing_or_no_indicator,The EV charger exterior shows no active LED indicator lights. An isolator switch is mounted directly adjacent to it.,The absence of indicator lights suggests a total loss of power to the unit. The visible adjacent isolator is a primary point to check for an interrupted power supply. +1,unknown_fault,no_power,low,driver,Check upstream isolator to ensure it is switched ON.,Close-up photo confirming the isolator switch position.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger No Pulse (5).jpg,960,1280,photo,mixed_scene,full_scene,no,charger_exterior,isolator,missing_or_no_indicator,"The EV charger exterior shows no active LED indicator lights. An isolator switch is visible to the left, and the isolator switch handle appears to be in the horizontal (OFF) position.",The absence of indicator lights indicates a total loss of power. The visible isolator switch in the OFF position is the highly probable root cause for the lack of power to the charger unit.,isolator_issue,no_power,low,driver,Instruct the driver to turn the isolator switch to the ON (vertical) position and check if the charger powers up.,"If power is not restored after turning the isolator ON, request a photo of the main house DB breaker positions.",no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger No Pulse (6).jpg,720,1280,photo,mixed_scene,full_scene,no,charger_exterior,isolator,missing_or_no_indicator,The EV charger exterior shows no active LED indicator lights. An isolator switch is mounted on the wall to the right of the charger.,The absence of indicator lights suggests a total loss of power to the charger unit. The visible adjacent isolator is a primary point to check for an interrupted upstream power supply.,isolator_issue,no_power,low,driver,Instruct the driver to verify the isolator switch is firmly in the ON position.,"If power is not restored, request a photo of the main house DB breaker positions. ",no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger Red Indicator.png,448,706,photo,charger_exterior,medium_shot,no,charger_exterior,isolator,red_indicator,The EV charger exterior shows red indicator light. An isolator switch is mounted on the wall to the right of the charger.,"Something ""welded"" or ""snapped"" inside due to high heat or a short circuit",isolator_issue,unknown_mixed,low,technician,"Perform a lockout-tagout (LOTO) at the main distribution board, verify zero voltage, and replace the seized AC isolator unit.",Photo of the completed terminations and an upstream/downstream voltage reading.,,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Isolator Issue.png,579,726,photo,isolator,close_up,no,isolator,isolator,faulty_isolator,"The mechanical handle on the isolator is stucked in the middle between ""ON"" and ""OFF""",,isolator_issue,unknown_mixed,low,technician,"Escalate for technician inspection to cut back and securely re-terminate the cable, and assess the isolator switch for internal thermal damage.","Wider context photo of isolator area and upstream power-path verification.",,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
MCB Tripped (1).jpg,1280,960,photo,evdb_house_db,medium_shot,no,rccb,mcb,tripped_switch,"The MCB (miniature circuit breaker) handle is in the downward/OFF position, indicating it has tripped or been manually turned off.",A tripped breaker aligns with the tripping issue family and suggests an overcurrent or short circuit event in the downstream circuit.,mcb_tripped,tripping,low,local_site,Instruct the user to attempt a reset of the MCB after checking for obvious downstream faults.,Photo of the DB with the breaker in the ON position and confirmation of charger power.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
MCB Tripped (2).jpg,960,1280,photo,evdb_house_db,medium_shot,no,rccb,mcb,tripped_switch,The breaker handle appears in the downward or tripped position within the house distribution board.+1,A tripped breaker handle aligns with the tripping issue family and suggests a circuit fault. +1,mcb_tripped,tripping,low,local_site,Instruct the user to check for obvious faults and attempt to reset the breaker.,Photo of the DB with breakers in the ON position to confirm power restoration.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
MCB Tripped (3).jpg,1280,720,photo,evdb_house_db,medium_shot,no,rccb,mcb,tripped_switch,"The MCB handles appear in the downward ""OFF"" position, indicating a trip or manual shutdown.",A tripped breaker suggests an overcurrent or short circuit event aligning with power loss symptoms.,mcb_tripped,tripping,low,local_site,Instruct the user to check downstream devices and attempt to reset the MCB.,Photo of the DB with breakers in the ON position.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
MCB Tripped (4).jpg,720,1280,photo,evdb_house_db,medium_shot,no,rccb,mcb,tripped_switch,"The MCB handle appears in the downward position, indicating the breaker is in the tripped or OFF state.",A tripped breaker handle aligns with the tripping issue family and suggests a circuit fault.,mcb_tripped,tripping,low,local_site,Instruct the user to check for obvious downstream faults and attempt to reset the breaker handle.,Photo of the DB with the breaker in the ON position and confirmation of charger power.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (1).jpg,810,1080,photo,tnb_fuse_area,close_up,no,tnb_fuse_area,fuse_holder,burn_mark; soot_or_carbon; melted_plastic,"Severe charring, melted plastic, and heavy soot/carbon deposits are visible across the entire fuse holder assembly and the surrounding enclosure walls.","Extensive thermal damage indicates a catastrophic failure, likely due to a severe overcurrent event, prolonged arcing, or a massive short circuit at the TNB fuse area.",burnt_fuse,no_power,high,technician,Escalate immediately for technician and utility provider (TNB) inspection to safely replace the burnt fuse assembly and investigate the root cause.,"Upstream voltage verification after utility repair, and inspection of the EVDB/charger for any secondary damage.",yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (2).jpg,960,1280,photo,tnb_fuse_area,medium_shot,no,tnb_fuse_area,tnb_meter,burn_mark; melted_plastic,"The primary fuse holder situated above the TNB meter shows severe localized burning, charring, and melted plastic housing.","Severe thermal damage at the main service fuse indicates a massive overcurrent event or prolonged arcing, resulting in a total loss of power to the premises.",burnt_fuse,no_power,high,technician,Escalate for technician and utility provider (TNB) intervention to safely replace the main fuse and investigate the root cause of the overload.,Post-repair voltage verification and inspection of the downstream EV circuit.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (3).jpg,810,1080,photo,tnb_fuse_area,close_up,no,tnb_fuse_area,fuse_holder,burn_mark; soot_or_carbon; melted_plastic,"Severe thermal damage, charring, and melted plastic are visible across the dual fuse holder assembly. The structural integrity of the fuse housing is completely compromised.","Extreme thermal damage at the main service fuse points to a catastrophic overcurrent, prolonged arcing, or a massive short circuit. This results in a complete loss of power and requires immediate utility intervention.",burnt_fuse,no_power,high,technician,Escalate immediately for technician and utility provider (TNB) inspection to safely replace the burnt fuse assembly and investigate the root cause of the overload.,Post-repair voltage verification and inspection of the downstream EV circuit for secondary damage.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (4).jpg,960,1280,photo,mixed_scene,medium_shot,yes,tnb_fuse_area,multimeter,burn_mark; soot_or_carbon,"A multimeter is taking a reading near the TNB meter. Above it, the fuse holder shows clear signs of dark soot/carbon deposits and burn marks on its lower section and the board behind it.","The presence of soot and burn marks at the fuse connection indicates a significant electrical event, likely an arcing fault or an overloaded fuse that has blown, leading to power interruption.",burnt_fuse,no_power,high,technician,Escalate for technician/TNB inspection to replace the compromised fuse assembly and investigate the cause of the thermal event. The multimeter reading should be recorded.,Photo of the repaired fuse area and a final voltage confirmation reading.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (5).jpg,960,1280,photo,tnb_fuse_area,close_up,no,tnb_fuse_area,cable,melted_plastic,The bottom of the fuse holder housing and the insulation on the incoming black cable show significant signs of melting and thermal deformation.,"Melting at the cable entry point of a main fuse holder points to a severe high-resistance connection or arcing fault, posing a high risk of fire and causing power failure.",burnt_fuse,no_power,high,technician,Escalate immediately for utility provider (TNB) intervention to safely replace the compromised fuse assembly and address the damaged incoming cable.,Photo of the repaired connection and confirmation of restored voltage.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
TNB Fuse Blow Issue (6).jpg,960,1280,photo,tnb_fuse_area,close_up,no,tnb_fuse_area,cable,melted_plastic,The black plastic housing of the TNB fuse carrier shows obvious melting and deformation exactly where the thick black cable enters the unit.,Localized melting at a cable entry point strongly indicates a high-resistance connection (loose termination) or a severe overcurrent event generating intense heat. This compromises insulation and poses a serious fire hazard.,burnt_fuse,no_power,high,technician,Escalate immediately for technician and utility provider (TNB) intervention to safely replace the damaged cut-out/fuse carrier and investigate the cause of the overheating.,Photo of the newly installed fuse assembly and a thermal check under load once power is restored.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Tapping TNB Meter (1).jpg,768,1024,photo,tnb_fuse_area,close_up,no,tnb_fuse_area,earth_wire;live_wire,suspected_tapping_layout;exposed_conductor;abnormal_connection_layout,The green earth wire has stripped insulation with a black wire twisted/spliced onto it in mid-air near the main fuse area.,"Manual splicing and exposed conductors indicate a high-risk illegal tap or grounding bypass, which can cause arcing and fire hazards.",tapping_or_illegal_wiring,unknown_mixed,high,technician,Disconnect the illegal splice immediately and replace the compromised earth wire; verify the integrity of the main fuse connections.,Photo of the corrected wiring and a continuity test from the meter to the main ground electrode.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Tapping TNB Meter (2).jpg,768,1024,photo,tnb_meter,medium_shot,no,tnb_meter,earth_wire,suspected_tapping_layout;abnormal_connection_layout;wrong_wire_routing,Green earth wire is routed loosely outside conduit with an apparent mid-air splice; wire hangs across the wall surface.,"Loose, external wiring with manual splices indicates a suspected illegal tap or unsafe grounding bypass, violating standard protection protocols.",tapping_or_illegal_wiring,unknown_mixed,high,technician,Inspect the full cable path for illegal connections; secure all loose wiring into proper conduit and verify earth resistance.,Wider context photo of the entire meter board and continuity test results for the suspected tap.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Tapping TNB Meter (3).jpg,768,1024,photo,tnb_meter,medium_shot,no,tnb_meter,earth_wire,suspected_tapping_layout;abnormal_connection_layout;wrong_wire_routing,Green earth wire is routed loosely outside conduit with an apparent mid-air splice; wire hangs across the wall surface.,"Loose, external wiring with manual splices indicates a suspected illegal tap or unsafe grounding bypass, violating standard protection protocols.",tapping_or_illegal_wiring,unknown_mixed,high,technician,Inspect the full cable path for illegal connections; secure all loose wiring into proper conduit and verify earth resistance.,Wider context photo of the entire meter board and continuity test results for the suspected tap.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
WC Apps Error Logs (1).jpg,485,1080,screenshot,app_screen,screen_capture,yes,app_screen,serial_number_region,red_indicator;damaged_internal_part;error_code_visible;serial_number_visible;text_proof_required,App interface displays an 'Over-voltage fault' with a red vertical indicator; serial CA3E1PAA25BB0005 is visible.,"The system has detected input voltage exceeding the 253V limit, which can cause thermal damage to internal MOV protection and relays.",overcurrent_issue,not_responding,high,remote_ops,Advise user to disconnect power immediately; escalate for remote logs check to confirm peak voltage seen by the module.,Screenshot of the detailed error description and a multimeter voltage reading at the charger input terminals.,yes,yes,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
WC Apps Error Logs (2).jpg,497,1080,screenshot,app_screen,screen_capture,yes,app_screen,serial_number_region,red_indicator;serial_number_visible;text_proof_required,App interface displays a 'Faulted' status with a red indicator next to charger ID D0122015309.,The red status indicator on the app confirms the charger's internal logic has detected a critical error state.,unknown_fault,not_responding,medium,remote_ops,Perform remote reset and check backend logs for specific error codes matching this serial number.,Screenshot of the specific error detail page and charger physical LED status.,no,yes,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
